Gene	Gene description	Concentration
MAPK14	Mitogen-activated protein kinase 14	7.1 µg/L
CD58	CD58 molecule	7.1 µg/L
PSTPIP2	Proline-serine-threonine phosphatase interacting protein 2	7.1 µg/L
DBI	"Diazepam binding inhibitor, acyl-CoA binding protein"	7.1 µg/L
PLEC	Plectin	7.1 µg/L
TMEM40	Transmembrane protein 40	7.0 µg/L
GOT2	Glutamic-oxaloacetic transaminase 2	7.0 µg/L
GNAZ	G protein subunit alpha z	6.9 µg/L
HSD17B4	Hydroxysteroid 17-beta dehydrogenase 4	6.9 µg/L
FGFBP2	Fibroblast growth factor binding protein 2	6.9 µg/L
FSTL3	Follistatin like 3	6.8 µg/L
KLK6	Kallikrein related peptidase 6	6.8 µg/L
BCAP31	B cell receptor associated protein 31	6.8 µg/L
ADH5	"Alcohol dehydrogenase 5 (class III), chi polypeptide"	6.8 µg/L
CAPG	"Capping actin protein, gelsolin like"	6.7 µg/L
PTPRB	"Protein tyrosine phosphatase, receptor type B"	6.7 µg/L
DMTN	Dematin actin binding protein	6.7 µg/L
FYB1	FYN binding protein 1	6.6 µg/L
TWSG1	Twisted gastrulation BMP signaling modulator 1	6.6 µg/L
CPB1	Carboxypeptidase B1	6.6 µg/L
ANTXR2	Anthrax toxin receptor 2	6.6 µg/L
CST1	Cystatin SN	6.6 µg/L
RNPEP	Arginyl aminopeptidase	6.6 µg/L
GPC1	Glypican 1	6.5 µg/L
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	6.5 µg/L
11-Sep	Septin 11	6.5 µg/L
PDHB	Pyruvate dehydrogenase E1 beta subunit	6.5 µg/L
ROBO1	Roundabout guidance receptor 1	6.5 µg/L
TYRO3	TYRO3 protein tyrosine kinase	6.4 µg/L
FGL2	Fibrinogen like 2	6.4 µg/L
AKAP12	A-kinase anchoring protein 12	6.4 µg/L
F8	Coagulation factor VIII	6.4 µg/L
POMGNT1	"Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"	6.3 µg/L
ETFA	Electron transfer flavoprotein alpha subunit	6.3 µg/L
OPCML	Opioid binding protein/cell adhesion molecule like	6.3 µg/L
TRHDE	Thyrotropin releasing hormone degrading enzyme	6.2 µg/L
DNPEP	Aspartyl aminopeptidase	6.2 µg/L
S100A12	S100 calcium binding protein A12	6.2 µg/L
PDCD6IP	Programmed cell death 6 interacting protein	6.2 µg/L
SYTL4	Synaptotagmin like 4	6.1 µg/L
CSTB	Cystatin B	6.1 µg/L
ANXA5	Annexin A5	6.1 µg/L
PGRMC1	Progesterone receptor membrane component 1	6.0 µg/L
UTRN	Utrophin	6.0 µg/L
PLXDC1	Plexin domain containing 1	6.0 µg/L
TMED10	Transmembrane p24 trafficking protein 10	6.0 µg/L
CADM4	Cell adhesion molecule 4	5.9 µg/L
GBE1	"1,4-alpha-glucan branching enzyme 1"	5.9 µg/L
CCT7	Chaperonin containing TCP1 subunit 7	5.9 µg/L
TXNRD1	Thioredoxin reductase 1	5.9 µg/L
ALOX12	"Arachidonate 12-lipoxygenase, 12S type"	5.8 µg/L
KRAS	"KRAS proto-oncogene, GTPase"	5.8 µg/L
ECH1	Enoyl-CoA hydratase 1	5.7 µg/L
NEDD8	"Neural precursor cell expressed, developmentally down-regulated 8"	5.7 µg/L
RIDA	Reactive intermediate imine deaminase A homolog	5.7 µg/L
QSOX2	Quiescin sulfhydryl oxidase 2	5.7 µg/L
PPIC	Peptidylprolyl isomerase C	5.7 µg/L
COLEC10	Collectin subfamily member 10	5.7 µg/L
NAP1L4	Nucleosome assembly protein 1 like 4	5.7 µg/L
SERPINB4	Serpin family B member 4	5.7 µg/L
CHRDL2	Chordin like 2	5.6 µg/L
AK2	Adenylate kinase 2	5.5 µg/L
SLC25A3	Solute carrier family 25 member 3	5.5 µg/L
ECM2	Extracellular matrix protein 2	5.5 µg/L
KPNB1	Karyopherin subunit beta 1	5.5 µg/L
SFTPD	Surfactant protein D	5.5 µg/L
NAPA	NSF attachment protein alpha	5.4 µg/L
LRRC59	Leucine rich repeat containing 59	5.4 µg/L
SLURP1	Secreted LY6/PLAUR domain containing 1	5.4 µg/L
COX5A	Cytochrome c oxidase subunit 5A	5.4 µg/L
VAPA	VAMP associated protein A	5.3 µg/L
PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor	5.3 µg/L
ADH4	"Alcohol dehydrogenase 4 (class II), pi polypeptide"	5.3 µg/L
VCAN	Versican	5.2 µg/L
CTGF	Connective tissue growth factor	5.2 µg/L
UROD	Uroporphyrinogen decarboxylase	5.2 µg/L
RAB8B	"RAB8B, member RAS oncogene family"	5.2 µg/L
AGXT	Alanine-glyoxylate aminotransferase	5.2 µg/L
SERPINB6	Serpin family B member 6	5.1 µg/L
S100A6	S100 calcium binding protein A6	5.1 µg/L
PKHD1L1	PKHD1 like 1	5.1 µg/L
GALNT7	Polypeptide N-acetylgalactosaminyltransferase 7	5.0 µg/L
CPM	Carboxypeptidase M	5.0 µg/L
HNRNPK	Heterogeneous nuclear ribonucleoprotein K	5.0 µg/L
MGAT2	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	5.0 µg/L
ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5	5.0 µg/L
ERVMER34-1	"Endogenous retrovirus group MER34 member 1, envelope"	5.0 µg/L
ERP29	Endoplasmic reticulum protein 29	4.9 µg/L
ACTR1A	ARP1 actin related protein 1 homolog A	4.9 µg/L
TMEM25	Transmembrane protein 25	4.9 µg/L
STIM1	Stromal interaction molecule 1	4.9 µg/L
SERPINB9	Serpin family B member 9	4.9 µg/L
MUC1	"Mucin 1, cell surface associated"	4.9 µg/L
SCG3	Secretogranin III	4.8 µg/L
PTPA	Protein phosphatase 2 phosphatase activator	4.8 µg/L
MSTN	Myostatin	4.8 µg/L
TKFC	Triokinase and FMN cyclase	4.8 µg/L
SPTBN2	"Spectrin beta, non-erythrocytic 2"	4.8 µg/L
NRAS	"NRAS proto-oncogene, GTPase"	4.8 µg/L
VDAC1	Voltage dependent anion channel 1	4.8 µg/L
H2AFY	H2A histone family member Y	4.7 µg/L
ASGR2	Asialoglycoprotein receptor 2	4.7 µg/L
NELL2	Neural EGFL like 2	4.7 µg/L
SH3BGRL2	SH3 domain binding glutamate rich protein like 2	4.7 µg/L
ARF5	ADP ribosylation factor 5	4.6 µg/L
GGT1	Gamma-glutamyltransferase 1	4.6 µg/L
FBN2	Fibrillin 2	4.6 µg/L
RAB13	"RAB13, member RAS oncogene family"	4.6 µg/L
CNST	"Consortin, connexin sorting protein"	4.6 µg/L
UBE2N	Ubiquitin conjugating enzyme E2 N	4.6 µg/L
EEF1G	Eukaryotic translation elongation factor 1 gamma	4.6 µg/L
TMSB10	Thymosin beta 10	4.5 µg/L
PFKP	"Phosphofructokinase, platelet"	4.5 µg/L
FSCN1	Fascin actin-bundling protein 1	4.5 µg/L
ARSA	Arylsulfatase A	4.5 µg/L
ASS1	Argininosuccinate synthase 1	4.5 µg/L
IL13RA1	Interleukin 13 receptor subunit alpha 1	4.5 µg/L
FBLN5	Fibulin 5	4.5 µg/L
BOC	"BOC cell adhesion associated, oncogene regulated"	4.5 µg/L
SMR3B	Submaxillary gland androgen regulated protein 3B	4.5 µg/L
SEMA3G	Semaphorin 3G	4.4 µg/L
CS	Citrate synthase	4.4 µg/L
FABP3	Fatty acid binding protein 3	4.4 µg/L
ACAA1	Acetyl-CoA acyltransferase 1	4.3 µg/L
MGLL	Monoglyceride lipase	4.3 µg/L
COL12A1	Collagen type XII alpha 1 chain	4.3 µg/L
MPP1	Membrane palmitoylated protein 1	4.3 µg/L
FGFR4	Fibroblast growth factor receptor 4	4.3 µg/L
KLK1	Kallikrein 1	4.3 µg/L
SUSD5	Sushi domain containing 5	4.3 µg/L
YES1	"YES proto-oncogene 1, Src family tyrosine kinase"	4.3 µg/L
LXN	Latexin	4.2 µg/L
ATP5F1D	ATP synthase F1 subunit delta	4.2 µg/L
CAND1	Cullin associated and neddylation dissociated 1	4.2 µg/L
LAP3	Leucine aminopeptidase 3	4.1 µg/L
IL27RA	Interleukin 27 receptor subunit alpha	4.1 µg/L
ATP1B1	ATPase Na+/K+ transporting subunit beta 1	4.1 µg/L
RPIA	Ribose 5-phosphate isomerase A	4.1 µg/L
THBS3	Thrombospondin 3	4.1 µg/L
ANTXR1	Anthrax toxin receptor 1	4.1 µg/L
SEMA4D	Semaphorin 4D	4.1 µg/L
SEMA3F	Semaphorin 3F	4.0 µg/L
ACO2	Aconitase 2	4.0 µg/L
GNA13	G protein subunit alpha 13	4.0 µg/L
PXDN	Peroxidasin	4.0 µg/L
UQCRC2	Ubiquinol-cytochrome c reductase core protein 2	4.0 µg/L
CCT5	Chaperonin containing TCP1 subunit 5	4.0 µg/L
CXCL16	C-X-C motif chemokine ligand 16	4.0 µg/L
CCT3	Chaperonin containing TCP1 subunit 3	4.0 µg/L
VDAC2	Voltage dependent anion channel 2	4.0 µg/L
ARF4	ADP ribosylation factor 4	4.0 µg/L
ATP5PO	ATP synthase peripheral stalk subunit OSCP	4.0 µg/L
UBE2V1	Ubiquitin conjugating enzyme E2 V1	4.0 µg/L
DPYSL2	Dihydropyrimidinase like 2	3.9 µg/L
AHCY	Adenosylhomocysteinase	3.9 µg/L
APLP1	Amyloid beta precursor like protein 1	3.9 µg/L
HAMP	Hepcidin antimicrobial peptide	3.9 µg/L
TCP1	T-complex 1	3.9 µg/L
PLA2G1B	Phospholipase A2 group IB	3.9 µg/L
SEZ6L2	Seizure related 6 homolog like 2	3.9 µg/L
ME1	Malic enzyme 1	3.8 µg/L
UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	3.8 µg/L
GMPR	Guanosine monophosphate reductase	3.8 µg/L
ILF2	Interleukin enhancer binding factor 2	3.8 µg/L
PHB	Prohibitin	3.8 µg/L
GPD1	Glycerol-3-phosphate dehydrogenase 1	3.8 µg/L
GLOD4	Glyoxalase domain containing 4	3.8 µg/L
KRTAP11-1	Keratin associated protein 11-1	3.8 µg/L
MFAP5	Microfibril associated protein 5	3.8 µg/L
SAMM50	SAMM50 sorting and assembly machinery component	3.7 µg/L
ACP5	"Acid phosphatase 5, tartrate resistant"	3.7 µg/L
ROCK2	Rho associated coiled-coil containing protein kinase 2	3.7 µg/L
ACP1	Acid phosphatase 1	3.7 µg/L
CDA	Cytidine deaminase	3.7 µg/L
FAM234A	Family with sequence similarity 234 member A	3.7 µg/L
STIP1	Stress induced phosphoprotein 1	3.7 µg/L
LGALS7B	Galectin 7B	3.7 µg/L
SULT1A1	Sulfotransferase family 1A member 1	3.7 µg/L
LGALS7	Galectin 7	3.7 µg/L
MSMB	Microseminoprotein beta	3.7 µg/L
GCLC	Glutamate-cysteine ligase catalytic subunit	3.6 µg/L
LCP2	Lymphocyte cytosolic protein 2	3.6 µg/L
MAOB	Monoamine oxidase B	3.6 µg/L
CDHR2	Cadherin related family member 2	3.6 µg/L
SUSD2	Sushi domain containing 2	3.6 µg/L
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	3.6 µg/L
RAB5C	"RAB5C, member RAS oncogene family"	3.6 µg/L
OLA1	Obg like ATPase 1	3.6 µg/L
FCAMR	Fc fragment of IgA and IgM receptor	3.6 µg/L
SHH	Sonic hedgehog	3.6 µg/L
HINT1	Histidine triad nucleotide binding protein 1	3.6 µg/L
CTSF	Cathepsin F	3.6 µg/L
CLEC14A	C-type lectin domain containing 14A	3.6 µg/L
PRSS8	Serine protease 8	3.5 µg/L
CDH17	Cadherin 17	3.4 µg/L
ME2	Malic enzyme 2	3.4 µg/L
MAN2B1	Mannosidase alpha class 2B member 1	3.4 µg/L
BCAT2	Branched chain amino acid transaminase 2	3.4 µg/L
PPP2R1A	Protein phosphatase 2 scaffold subunit Aalpha	3.4 µg/L
RAB35	"RAB35, member RAS oncogene family"	3.4 µg/L
CCT4	Chaperonin containing TCP1 subunit 4	3.4 µg/L
NECTIN2	Nectin cell adhesion molecule 2	3.4 µg/L
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	3.4 µg/L
EPB41	Erythrocyte membrane protein band 4.1	3.4 µg/L
SPINT1	"Serine peptidase inhibitor, Kunitz type 1"	3.4 µg/L
PRKCB	Protein kinase C beta	3.4 µg/L
BSG	Basigin (Ok blood group)	3.4 µg/L
MYDGF	Myeloid derived growth factor	3.3 µg/L
PCK2	"Phosphoenolpyruvate carboxykinase 2, mitochondrial"	3.3 µg/L
LMNB1	Lamin B1	3.3 µg/L
TCN1	Transcobalamin 1	3.3 µg/L
EIF3H	Eukaryotic translation initiation factor 3 subunit H	3.3 µg/L
PAMR1	Peptidase domain containing associated with muscle regeneration 1	3.3 µg/L
NAXE	NAD(P)HX epimerase	3.3 µg/L
GFRA2	GDNF family receptor alpha 2	3.3 µg/L
PRL	Prolactin	3.3 µg/L
PSMB8	Proteasome subunit beta 8	3.3 µg/L
DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	3.3 µg/L
SKAP2	Src kinase associated phosphoprotein 2	3.2 µg/L
CRTAM	Cytotoxic and regulatory T cell molecule	3.2 µg/L
CKMT2	"Creatine kinase, mitochondrial 2"	3.2 µg/L
ARMT1	Acidic residue methyltransferase 1	3.2 µg/L
LMNA	Lamin A/C	3.2 µg/L
LIPC	"Lipase C, hepatic type"	3.2 µg/L
ACAA2	Acetyl-CoA acyltransferase 2	3.2 µg/L
DCTN2	Dynactin subunit 2	3.2 µg/L
SULT1A3	Sulfotransferase family 1A member 3	3.2 µg/L
PTBP1	Polypyrimidine tract binding protein 1	3.1 µg/L
MTAP	Methylthioadenosine phosphorylase	3.1 µg/L
HSPA9	Heat shock protein family A (Hsp70) member 9	3.1 µg/L
PDE5A	Phosphodiesterase 5A	3.1 µg/L
RAD23A	"RAD23 homolog A, nucleotide excision repair protein"	3.1 µg/L
THSD7A	Thrombospondin type 1 domain containing 7A	3.0 µg/L
HAGH	Hydroxyacylglutathione hydrolase	3.0 µg/L
ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	3.0 µg/L
MYLK	Myosin light chain kinase	3.0 µg/L
NUTF2	Nuclear transport factor 2	3.0 µg/L
TPT1	"Tumor protein, translationally-controlled 1"	3.0 µg/L
GXYLT1	Glucoside xylosyltransferase 1	3.0 µg/L
PM20D1	Peptidase M20 domain containing 1	3.0 µg/L
GAA	"Glucosidase alpha, acid"	3.0 µg/L
ELN	Elastin	2.9 µg/L
PDIA5	Protein disulfide isomerase family A member 5	2.9 µg/L
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	2.9 µg/L
CBLN1	Cerebellin 1 precursor	2.9 µg/L
HAVCR2	Hepatitis A virus cellular receptor 2	2.9 µg/L
NOV	Nephroblastoma overexpressed	2.9 µg/L
GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	2.9 µg/L
PKLR	Pyruvate kinase L/R	2.9 µg/L
FH	Fumarate hydratase	2.8 µg/L
STK24	Serine/threonine kinase 24	2.8 µg/L
RPN2	Ribophorin II	2.8 µg/L
MPST	Mercaptopyruvate sulfurtransferase	2.8 µg/L
TST	Thiosulfate sulfurtransferase	2.8 µg/L
VGF	VGF nerve growth factor inducible	2.8 µg/L
ARL8B	ADP ribosylation factor like GTPase 8B	2.8 µg/L
PSMB6	Proteasome subunit beta 6	2.8 µg/L
CD300A	CD300a molecule	2.8 µg/L
TUFM	"Tu translation elongation factor, mitochondrial"	2.8 µg/L
ROR1	Receptor tyrosine kinase like orphan receptor 1	2.8 µg/L
AKR7A2	Aldo-keto reductase family 7 member A2	2.7 µg/L
PABPC1	Poly(A) binding protein cytoplasmic 1	2.7 µg/L
PKP1	Plakophilin 1	2.7 µg/L
PLOD1	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	2.7 µg/L
HADHA	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	2.7 µg/L
CST4	Cystatin S	2.7 µg/L
ATP6V1A	ATPase H+ transporting V1 subunit A	2.7 µg/L
DSC3	Desmocollin 3	2.7 µg/L
PSMB7	Proteasome subunit beta 7	2.7 µg/L
SDK1	Sidekick cell adhesion molecule 1	2.7 µg/L
CCT8	Chaperonin containing TCP1 subunit 8	2.7 µg/L
DCXR	Dicarbonyl and L-xylulose reductase	2.7 µg/L
DNER	Delta/notch like EGF repeat containing	2.7 µg/L
KPRP	Keratinocyte proline rich protein	2.7 µg/L
MRI1	Methylthioribose-1-phosphate isomerase 1	2.6 µg/L
PLXNA1	Plexin A1	2.6 µg/L
ABHD14B	Abhydrolase domain containing 14B	2.6 µg/L
CD48	CD48 molecule	2.6 µg/L
TCTN3	Tectonic family member 3	2.6 µg/L
SLPI	Secretory leukocyte peptidase inhibitor	2.6 µg/L
ITM2B	Integral membrane protein 2B	2.6 µg/L
ESYT1	Extended synaptotagmin 1	2.6 µg/L
ATP5F1C	ATP synthase F1 subunit gamma	2.6 µg/L
HTRA1	HtrA serine peptidase 1	2.6 µg/L
CHMP4A	Charged multivesicular body protein 4A	2.6 µg/L
DPP3	Dipeptidyl peptidase 3	2.6 µg/L
CYFIP1	Cytoplasmic FMR1 interacting protein 1	2.6 µg/L
TNFRSF1B	TNF receptor superfamily member 1B	2.5 µg/L
NID2	Nidogen 2	2.5 µg/L
FHOD1	Formin homology 2 domain containing 1	2.5 µg/L
FUOM	Fucose mutarotase	2.5 µg/L
PTPRD	"Protein tyrosine phosphatase, receptor type D"	2.5 µg/L
ITGB2	Integrin subunit beta 2	2.5 µg/L
HNRNPF	Heterogeneous nuclear ribonucleoprotein F	2.5 µg/L
BGN	Biglycan	2.5 µg/L
ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase 1	2.5 µg/L
GGCT	Gamma-glutamylcyclotransferase	2.4 µg/L
BID	BH3 interacting domain death agonist	2.4 µg/L
SEZ6L	Seizure related 6 homolog like	2.4 µg/L
ICAM5	Intercellular adhesion molecule 5	2.4 µg/L
NENF	Neudesin neurotrophic factor	2.4 µg/L
FMOD	Fibromodulin	2.4 µg/L
CNDP2	Carnosine dipeptidase 2	2.4 µg/L
GALNS	Galactosamine (N-acetyl)-6-sulfatase	2.4 µg/L
FCMR	Fc fragment of IgM receptor	2.4 µg/L
RAP2B	"RAP2B, member of RAS oncogene family"	2.4 µg/L
SEMA4A	Semaphorin 4A	2.4 µg/L
ARPC1A	Actin related protein 2/3 complex subunit 1A	2.4 µg/L
RCN1	Reticulocalbin 1	2.3 µg/L
OLFM2	Olfactomedin 2	2.3 µg/L
AEBP1	AE binding protein 1	2.3 µg/L
TREML2	Triggering receptor expressed on myeloid cells like 2	2.3 µg/L
LRRC4B	Leucine rich repeat containing 4B	2.3 µg/L
LGALS3	Galectin 3	2.3 µg/L
EIF4A1	Eukaryotic translation initiation factor 4A1	2.3 µg/L
RNASE6	Ribonuclease A family member k6	2.3 µg/L
CANT1	Calcium activated nucleotidase 1	2.3 µg/L
RHOG	Ras homolog family member G	2.3 µg/L
NAGA	Alpha-N-acetylgalactosaminidase	2.3 µg/L
ITGA1	Integrin subunit alpha 1	2.3 µg/L
AL035078.4	Reticulocalbin-1	2.3 µg/L
TNFRSF17	TNF receptor superfamily member 17	2.2 µg/L
CASP14	Caspase 14	2.2 µg/L
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	2.2 µg/L
COX5B	Cytochrome c oxidase subunit 5B	2.2 µg/L
UBASH3B	Ubiquitin associated and SH3 domain containing B	2.2 µg/L
HSPA13	Heat shock protein family A (Hsp70) member 13	2.2 µg/L
PDLIM5	PDZ and LIM domain 5	2.2 µg/L
PRNP	Prion protein	2.2 µg/L
ARHGAP45	Rho GTPase activating protein 45	2.2 µg/L
CPS1	Carbamoyl-phosphate synthase 1	2.1 µg/L
KIF2A	Kinesin family member 2A	2.1 µg/L
TTLL12	Tubulin tyrosine ligase like 12	2.1 µg/L
LSR	Lipolysis stimulated lipoprotein receptor	2.1 µg/L
ECE1	Endothelin converting enzyme 1	2.1 µg/L
CLTA	Clathrin light chain A	2.1 µg/L
PI3	Peptidase inhibitor 3	2.1 µg/L
ACLY	ATP citrate lyase	2.1 µg/L
RAN	"RAN, member RAS oncogene family"	2.1 µg/L
CNTN6	Contactin 6	2.1 µg/L
ARRB1	Arrestin beta 1	2.1 µg/L
NPEPPS	Aminopeptidase puromycin sensitive	2.1 µg/L
SCCPDH	Saccharopine dehydrogenase (putative)	2.1 µg/L
B3GNT7	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"	2.1 µg/L
CMPK1	Cytidine/uridine monophosphate kinase 1	2.1 µg/L
NFASC	Neurofascin	2.1 µg/L
BMP1	Bone morphogenetic protein 1	2.1 µg/L
HNRNPH1	Heterogeneous nuclear ribonucleoprotein H1	2.1 µg/L
EFNA1	Ephrin A1	2.1 µg/L
TSKU	"Tsukushi, small leucine rich proteoglycan"	2.1 µg/L
KRTAP19-5	Keratin associated protein 19-5	2.1 µg/L
DDR1	Discoidin domain receptor tyrosine kinase 1	2.1 µg/L
CKMT1A	"Creatine kinase, mitochondrial 1A"	2.1 µg/L
CKMT1B	"Creatine kinase, mitochondrial 1B"	2.1 µg/L
PDCD6	Programmed cell death 6	2.1 µg/L
FYN	"FYN proto-oncogene, Src family tyrosine kinase"	2.0 µg/L
SDK2	Sidekick cell adhesion molecule 2	2.0 µg/L
HMCN1	Hemicentin 1	2.0 µg/L
TATDN1	TatD DNase domain containing 1	2.0 µg/L
NAPRT	Nicotinate phosphoribosyltransferase	2.0 µg/L
FDPS	Farnesyl diphosphate synthase	2.0 µg/L
SMPD1	Sphingomyelin phosphodiesterase 1	2.0 µg/L
IDH3A	Isocitrate dehydrogenase 3 (NAD(+)) alpha	2.0 µg/L
PLD4	Phospholipase D family member 4	2.0 µg/L
COL14A1	Collagen type XIV alpha 1 chain	2.0 µg/L
HMGB1	High mobility group box 1	2.0 µg/L
CD47	CD47 molecule	2.0 µg/L
PCBP2	Poly(rC) binding protein 2	2.0 µg/L
KRTAP13-1	Keratin associated protein 13-1	2.0 µg/L
BAG6	BCL2 associated athanogene 6	2.0 µg/L
TMEM132A	Transmembrane protein 132A	1.9 µg/L
TSPAN9	Tetraspanin 9	1.9 µg/L
RASGRP2	RAS guanyl releasing protein 2	1.9 µg/L
GRPEL1	"GrpE like 1, mitochondrial"	1.9 µg/L
CD81	CD81 molecule	1.9 µg/L
SPTBN1	"Spectrin beta, non-erythrocytic 1"	1.9 µg/L
FLOT2	Flotillin 2	1.9 µg/L
COL4A2	Collagen type IV alpha 2 chain	1.9 µg/L
PRKCA	Protein kinase C alpha	1.9 µg/L
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	1.9 µg/L
PGM2	Phosphoglucomutase 2	1.9 µg/L
GRB2	Growth factor receptor bound protein 2	1.9 µg/L
OTC	Ornithine carbamoyltransferase	1.8 µg/L
DCBLD2	"Discoidin, CUB and LCCL domain containing 2"	1.8 µg/L
HSD17B10	Hydroxysteroid 17-beta dehydrogenase 10	1.8 µg/L
FGL1	Fibrinogen like 1	1.8 µg/L
PTN	Pleiotrophin	1.8 µg/L
SIAE	Sialic acid acetylesterase	1.8 µg/L
ATP5IF1	ATP synthase inhibitory factor subunit 1	1.8 µg/L
FST	Follistatin	1.8 µg/L
PFKL	"Phosphofructokinase, liver type"	1.8 µg/L
QDPR	Quinoid dihydropteridine reductase	1.8 µg/L
C21orf33	Chromosome 21 open reading frame 33	1.8 µg/L
ADGRL4	Adhesion G protein-coupled receptor L4	1.8 µg/L
LRRC15	Leucine rich repeat containing 15	1.8 µg/L
FLII	"FLII, actin remodeling protein"	1.8 µg/L
HIST1H1C	Histone cluster 1 H1 family member c	1.8 µg/L
AKR1C4	Aldo-keto reductase family 1 member C4	1.8 µg/L
DDAH2	Dimethylarginine dimethylaminohydrolase 2	1.8 µg/L
DAZAP1	DAZ associated protein 1	1.7 µg/L
AKR1B1	Aldo-keto reductase family 1 member B	1.7 µg/L
MXRA5	Matrix remodeling associated 5	1.7 µg/L
IL1RL1	Interleukin 1 receptor like 1	1.7 µg/L
LYPLA1	Lysophospholipase I	1.7 µg/L
SEMG1	Semenogelin I	1.7 µg/L
TNNI3	"Troponin I3, cardiac type"	1.7 µg/L
PSAT1	Phosphoserine aminotransferase 1	1.7 µg/L
HK3	Hexokinase 3	1.7 µg/L
GLB1	Galactosidase beta 1	1.7 µg/L
WFIKKN2	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"	1.7 µg/L
CHID1	Chitinase domain containing 1	1.7 µg/L
TGM2	Transglutaminase 2	1.7 µg/L
PRKAR2B	Protein kinase cAMP-dependent type II regulatory subunit beta	1.6 µg/L
GLG1	Golgi glycoprotein 1	1.6 µg/L
CYB5B	Cytochrome b5 type B	1.6 µg/L
SFRP1	Secreted frizzled related protein 1	1.6 µg/L
BLVRA	Biliverdin reductase A	1.6 µg/L
SRSF3	Serine and arginine rich splicing factor 3	1.6 µg/L
SDC1	Syndecan 1	1.6 µg/L
GLO1	Glyoxalase I	1.6 µg/L
LSP1	Lymphocyte-specific protein 1	1.6 µg/L
NT5E	5'-nucleotidase ecto	1.6 µg/L
ARSG	Arylsulfatase G	1.6 µg/L
GALNT1	Polypeptide N-acetylgalactosaminyltransferase 1	1.6 µg/L
B3GAT3	"Beta-1,3-glucuronyltransferase 3"	1.6 µg/L
SPON2	Spondin 2	1.6 µg/L
APEH	Acylaminoacyl-peptide hydrolase	1.6 µg/L
ATP5PD	ATP synthase peripheral stalk subunit d	1.6 µg/L
PAFAH1B2	Platelet activating factor acetylhydrolase 1b catalytic subunit 2	1.6 µg/L
FASN	Fatty acid synthase	1.6 µg/L
UBE2O	Ubiquitin conjugating enzyme E2 O	1.6 µg/L
05-Sep	Septin 5	1.6 µg/L
ATL3	Atlastin GTPase 3	1.6 µg/L
HLA-DRA	"Major histocompatibility complex, class II, DR alpha"	1.6 µg/L
C1QTNF5	C1q and TNF related 5	1.6 µg/L
ISOC1	Isochorismatase domain containing 1	1.5 µg/L
TXNL1	Thioredoxin like 1	1.5 µg/L
CRKL	"CRK like proto-oncogene, adaptor protein"	1.5 µg/L
TPD52L2	Tumor protein D52 like 2	1.5 µg/L
CSK	C-terminal Src kinase	1.5 µg/L
SFRP4	Secreted frizzled related protein 4	1.5 µg/L
ACTR1B	ARP1 actin related protein 1 homolog B	1.5 µg/L
OLFML3	Olfactomedin like 3	1.5 µg/L
ECHS1	"Enoyl-CoA hydratase, short chain 1"	1.5 µg/L
GMFG	Glia maturation factor gamma	1.5 µg/L
GGT7	Gamma-glutamyltransferase 7	1.5 µg/L
WDR44	WD repeat domain 44	1.5 µg/L
FLOT1	Flotillin 1	1.5 µg/L
SDCBP	Syndecan binding protein	1.5 µg/L
PRKACB	Protein kinase cAMP-activated catalytic subunit beta	1.5 µg/L
CPA2	Carboxypeptidase A2	1.5 µg/L
CAPN2	Calpain 2	1.5 µg/L
CD200R1	CD200 receptor 1	1.5 µg/L
CLEC1B	C-type lectin domain family 1 member B	1.5 µg/L
ANGPTL4	Angiopoietin like 4	1.5 µg/L
SCARA5	Scavenger receptor class A member 5	1.5 µg/L
UBE2V2	Ubiquitin conjugating enzyme E2 V2	1.5 µg/L
HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	1.5 µg/L
ANO6	Anoctamin 6	1.5 µg/L
ABAT	4-aminobutyrate aminotransferase	1.5 µg/L
TOR4A	Torsin family 4 member A	1.5 µg/L
SRI	Sorcin	1.4 µg/L
PREP	Prolyl endopeptidase	1.4 µg/L
ADD1	Adducin 1	1.4 µg/L
